"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 68 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.524,0.552,0.560,0.615,0.652,0.633,0.647,0.658,0.710,0.739,0.712,0.752,0.728,0.834,0.958,0.877,0.974,0.966,1.181,1.164,1.231,1.285,1.420,1.522,1.577,1.860,1.956,2.042,2.197,2.060,2.146,2.207,2.323,2.345,2.221,2.092,2.237,2.176,2.316,2.211,2.128,2.439,2.474,2.343,2.315,2.270,2.505,2.785,3.172,3.176,3.216,3.065,3.278,3.323,3.235,3.540,3.626,3.680,3.900,4.017,4.185,4.301,4.335,4.384,4.301,4.517,4.655,4.641,4.675,5.219,5.065
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 69 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.529,0.529,0.541,0.563,0.599,0.620,0.589,0.615,0.601,0.641,0.641,0.677,0.754,0.723,0.836,0.951,0.857,0.969,0.975,1.178,1.178,1.230,1.283,1.412,1.514,1.560,1.842,1.921,2.020,2.175,2.043,2.040,2.036,2.173,2.191,2.075,1.953,2.088,2.029,2.160,2.062,1.983,2.274,2.306,2.183,2.157,2.114,2.333,2.593,2.954,2.957,2.994,2.851,3.053,3.095,3.011,3.296,3.378,3.426,3.633,3.743,3.900,4.010,4.039,4.085,4.012,4.215,4.343,4.328,4.359,4.872
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 70 to 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.783,1.973,2.185,2.393,2.543,2.682,2.750,2.843,2.927,2.980,3.069,3.145,3.199,3.260,3.371,3.442,3.716,3.964,4.135,4.378,4.724,5.083,5.477,5.799,6.207,6.564,6.922,7.569,8.218,8.784,9.376,9.417,9.514,9.681,9.936,10.039,10.224,10.148,10.186,10.034,10.014,10.001,10.014,10.207,10.463,10.491,10.576,10.670,10.735,11.036,11.812,12.597,13.439,13.905,14.324,14.460,14.513,14.827,15.334,15.699,16.224,16.926,17.521,18.138,18.730,19.165,19.405,19.714,20.050,20.347,20.645
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 70 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.437,0.522,0.527,0.554,0.586,0.628,0.651,0.643,0.673,0.677,0.727,0.645,0.671,0.751,0.715,0.813,0.929,0.858,0.949,0.962,1.149,1.188,1.224,1.269,1.400,1.499,1.561,1.844,1.904,2.018,2.169,1.946,2.074,2.097,2.233,2.258,2.137,2.010,2.149,2.089,2.222,2.123,2.039,2.338,2.371,2.244,2.217,2.174,2.399,2.666,3.039,3.041,3.080,2.931,3.136,3.181,3.096,3.387,3.470,3.519,3.731,3.846,4.006,4.118,4.147,4.193,4.120,4.327,4.464,4.449,4.479
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 71 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.373,0.421,0.497,0.497,0.507,0.534,0.558,0.570,0.563,0.587,0.595,0.713,0.633,0.643,0.756,0.713,0.808,0.934,0.852,0.968,0.996,1.151,1.188,1.213,1.268,1.412,1.497,1.560,1.852,1.883,1.993,2.101,1.836,1.981,2.002,2.133,2.156,2.037,1.916,2.048,1.990,2.118,2.023,1.942,2.225,2.257,2.136,2.109,2.067,2.281,2.536,2.890,2.891,2.928,2.785,2.987,3.031,2.944,3.224,3.304,3.346,3.553,3.666,3.816,3.925,3.949,3.997,3.931,4.130,4.261,4.249
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 72 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.342,0.395,0.448,0.529,0.531,0.545,0.568,0.604,0.624,0.608,0.638,0.586,0.713,0.621,0.623,0.754,0.701,0.806,0.936,0.829,0.946,0.984,1.149,1.189,1.214,1.257,1.402,1.499,1.557,1.844,1.857,1.915,2.098,1.857,2.005,2.026,2.157,2.183,2.061,1.938,2.072,2.014,2.142,2.047,1.964,2.251,2.283,2.161,2.134,2.091,2.309,2.566,2.925,2.925,2.963,2.819,3.020,3.065,2.978,3.260,3.339,3.384,3.590,3.707,3.858,3.968,3.992,4.037,3.973,4.172,4.307
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 73 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.312,0.332,0.395,0.442,0.503,0.509,0.518,0.548,0.580,0.594,0.589,0.637,0.579,0.691,0.610,0.608,0.708,0.675,0.780,0.905,0.842,0.929,0.984,1.148,1.185,1.212,1.256,1.411,1.497,1.556,1.821,1.823,1.842,2.045,1.810,1.954,1.973,2.101,2.124,2.005,1.886,2.016,1.958,2.083,1.990,1.910,2.188,2.219,2.100,2.073,2.031,2.241,2.492,2.841,2.841,2.875,2.735,2.933,2.976,2.890,3.165,3.245,3.286,3.489,3.603,3.751,3.857,3.880,3.927,3.864,4.062
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.319,0.303,0.318,0.371,0.416,0.466,0.455,0.478,0.487,0.514,0.520,0.564,0.603,0.554,0.667,0.554,0.570,0.691,0.618,0.714,0.791,0.831,0.932,0.980,1.140,1.184,1.206,1.255,1.408,1.483,1.536,1.632,1.664,1.701,1.886,1.668,1.801,1.817,1.936,1.954,1.844,1.730,1.852,1.797,1.913,1.829,1.752,2.007,2.035,1.925,1.897,1.859,2.051,2.280,2.599,2.598,2.631,2.498,2.686,2.726,2.643,2.898,2.973,3.008,3.197,3.304,3.439,3.539,3.556,3.601,3.548
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 75 to 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.143,1.239,1.356,1.440,1.577,1.700,1.834,1.967,2.101,2.212,2.307,2.361,2.420,2.511,2.569,2.669,2.720,2.756,2.830,2.957,3.072,3.282,3.516,3.815,4.134,4.548,4.879,5.216,5.473,5.896,6.202,6.351,6.722,7.139,7.478,7.919,8.157,8.336,8.474,8.687,8.764,8.919,8.841,8.870,8.733,8.703,8.691,8.699,8.862,9.081,9.090,9.157,9.231,9.275,9.524,10.181,10.851,11.570,11.971,12.337,12.463,12.506,12.787,13.238,13.545,14.007,14.631,15.157,15.703,16.222,16.607
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 75 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.285,0.320,0.318,0.329,0.388,0.438,0.474,0.474,0.483,0.502,0.524,0.502,0.558,0.585,0.531,0.654,0.544,0.567,0.670,0.612,0.718,0.768,0.818,0.936,0.981,1.130,1.177,1.179,1.242,1.393,1.456,1.418,1.618,1.672,1.710,1.896,1.676,1.810,1.825,1.944,1.963,1.852,1.738,1.861,1.806,1.922,1.837,1.760,2.017,2.044,1.933,1.905,1.867,2.059,2.289,2.608,2.606,2.638,2.506,2.695,2.734,2.652,2.907,2.982,3.018,3.207,3.315,3.451,3.551,3.568,3.615
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 76 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.238,0.269,0.305,0.302,0.306,0.358,0.403,0.436,0.435,0.444,0.466,0.519,0.486,0.539,0.580,0.524,0.633,0.550,0.561,0.689,0.628,0.722,0.764,0.808,0.925,0.960,1.115,1.156,1.158,1.223,1.370,1.403,1.345,1.554,1.606,1.639,1.818,1.607,1.735,1.748,1.863,1.882,1.774,1.664,1.782,1.728,1.839,1.759,1.685,1.930,1.955,1.848,1.820,1.784,1.967,2.187,2.492,2.491,2.522,2.394,2.579,2.618,2.537,2.782,2.856,2.886,3.071,3.175,3.307,3.402,3.417
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 77 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.235,0.237,0.273,0.306,0.309,0.315,0.359,0.408,0.447,0.448,0.461,0.453,0.498,0.475,0.513,0.538,0.491,0.607,0.505,0.537,0.627,0.607,0.700,0.746,0.779,0.908,0.921,1.079,1.102,1.129,1.190,1.300,1.372,1.332,1.540,1.591,1.625,1.801,1.592,1.719,1.731,1.845,1.864,1.756,1.648,1.764,1.712,1.820,1.740,1.667,1.910,1.936,1.828,1.801,1.764,1.947,2.165,2.465,2.463,2.493,2.367,2.552,2.590,2.509,2.752,2.826,2.857,3.041,3.145,3.276,3.370
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 78 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.191,0.229,0.234,0.274,0.303,0.304,0.310,0.360,0.405,0.440,0.461,0.454,0.448,0.499,0.477,0.517,0.569,0.512,0.630,0.544,0.575,0.633,0.619,0.717,0.761,0.789,0.899,0.913,1.073,1.095,1.114,1.198,1.294,1.384,1.344,1.553,1.604,1.638,1.815,1.605,1.731,1.746,1.860,1.879,1.771,1.663,1.779,1.726,1.837,1.756,1.682,1.927,1.952,1.844,1.816,1.779,1.961,2.182,2.485,2.483,2.513,2.386,2.573,2.610,2.529,2.774,2.849,2.880,3.064,3.169,3.300
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.194,0.184,0.226,0.229,0.271,0.285,0.288,0.289,0.331,0.378,0.395,0.433,0.430,0.413,0.468,0.436,0.483,0.520,0.464,0.575,0.524,0.552,0.615,0.608,0.688,0.761,0.767,0.889,0.898,1.056,1.072,1.032,1.093,1.197,1.278,1.240,1.434,1.480,1.507,1.671,1.476,1.594,1.605,1.710,1.726,1.626,1.524,1.634,1.583,1.684,1.610,1.541,1.764,1.787,1.688,1.660,1.627,1.794,1.995,2.272,2.270,2.298,2.180,2.355,2.390,2.314,2.539,2.610,2.636,2.807,2.905
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 80 to 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.586,0.663,0.716,0.796,0.872,0.952,1.019,1.127,1.188,1.288,1.394,1.494,1.582,1.699,1.754,1.808,1.839,1.916,2.009,2.072,2.178,2.280,2.392,2.539,2.658,2.759,2.982,3.187,3.443,3.750,4.070,4.123,4.239,4.412,4.690,4.922,5.139,5.504,5.841,6.108,6.456,6.633,6.762,6.865,7.041,7.102,7.212,7.130,7.148,7.038,7.011,6.992,6.988,7.113,7.294,7.288,7.311,7.359,7.395,7.604,8.141,8.672,9.227,9.522,9.818,9.937,9.973,10.205,10.590,10.834,11.199
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 80 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.166,0.176,0.166,0.207,0.210,0.250,0.266,0.276,0.278,0.321,0.365,0.389,0.416,0.415,0.416,0.454,0.419,0.491,0.515,0.464,0.551,0.515,0.540,0.611,0.578,0.671,0.747,0.762,0.876,0.878,1.014,0.954,0.980,1.051,1.151,1.229,1.192,1.379,1.422,1.448,1.604,1.416,1.530,1.539,1.640,1.657,1.560,1.463,1.566,1.517,1.613,1.543,1.476,1.689,1.711,1.614,1.587,1.555,1.715,1.908,2.173,2.171,2.196,2.082,2.253,2.286,2.211,2.428,2.496,2.520,2.684
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 81 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.118,0.150,0.162,0.155,0.196,0.202,0.235,0.259,0.273,0.275,0.322,0.335,0.359,0.378,0.377,0.366,0.419,0.366,0.437,0.463,0.443,0.540,0.516,0.530,0.603,0.554,0.661,0.728,0.752,0.861,0.862,0.961,0.908,0.944,1.013,1.107,1.181,1.146,1.326,1.368,1.391,1.541,1.360,1.470,1.477,1.574,1.590,1.495,1.400,1.500,1.453,1.544,1.479,1.411,1.615,1.636,1.542,1.515,1.485,1.636,1.821,2.073,2.070,2.096,1.984,2.153,2.185,2.111,2.318,2.385,2.406
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 82 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.117,0.123,0.150,0.163,0.154,0.195,0.191,0.224,0.238,0.252,0.247,0.305,0.311,0.338,0.354,0.349,0.342,0.402,0.347,0.415,0.431,0.424,0.522,0.492,0.502,0.575,0.535,0.640,0.699,0.729,0.834,0.772,0.882,0.844,0.877,0.941,1.029,1.097,1.063,1.231,1.269,1.289,1.429,1.261,1.362,1.368,1.459,1.474,1.385,1.296,1.390,1.344,1.429,1.368,1.305,1.494,1.513,1.426,1.400,1.371,1.511,1.683,1.917,1.914,1.938,1.834,1.992,2.023,1.953,2.146,2.207
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 83 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.098,0.115,0.119,0.152,0.162,0.150,0.190,0.192,0.227,0.230,0.249,0.215,0.288,0.284,0.328,0.334,0.339,0.330,0.398,0.340,0.403,0.418,0.413,0.505,0.484,0.489,0.562,0.523,0.618,0.683,0.703,0.764,0.741,0.857,0.820,0.852,0.914,1.000,1.065,1.033,1.195,1.233,1.253,1.387,1.224,1.322,1.328,1.417,1.431,1.345,1.259,1.348,1.304,1.387,1.327,1.266,1.449,1.468,1.382,1.358,1.330,1.466,1.633,1.859,1.856,1.879,1.778,1.933,1.963,1.894,2.081
"    ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.087,0.099,0.119,0.119,0.150,0.155,0.137,0.176,0.172,0.210,0.211,0.250,0.208,0.284,0.279,0.305,0.320,0.327,0.312,0.390,0.350,0.383,0.401,0.401,0.491,0.470,0.477,0.534,0.498,0.599,0.657,0.672,0.728,0.716,0.829,0.793,0.823,0.882,0.965,1.028,0.997,1.154,1.190,1.208,1.338,1.181,1.275,1.281,1.366,1.380,1.296,1.213,1.300,1.258,1.336,1.278,1.220,1.395,1.413,1.331,1.306,1.279,1.411,1.571,1.787,1.785,1.807,1.710,1.860,1.889,1.821
"  ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION AGE 85 YEARS and OVER (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.368,0.409,0.453,0.509,0.563,0.642,0.707,0.745,0.809,0.869,0.946,1.040,1.120,1.181,1.303,1.362,1.475,1.583,1.674,1.750,1.877,2.066,2.269,2.454,2.652,2.908,3.136,3.335,3.608,3.800,4.065,4.217,4.444,4.745,5.056,5.404,5.758,6.147,6.539,6.972,7.448,7.933,8.548,9.201,9.903,10.675,11.376,12.096,12.849,13.625,14.470,15.270,16.049,16.841,17.599,18.429,19.139,19.825,20.631,21.420,22.124,22.760,23.334,24.066,24.885,25.850,26.767,27.688,28.575,29.425,30.302
"ASIAN AMERICAN and PACIFIC ISLANDER NON-HISPANIC FEMALE POPULATION MEDIAN AGE (in years)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",31.33,31.30,31.39,31.58,31.78,31.98,31.95,32.01,31.96,31.99,32.16,32.35,32.63,32.99,33.32,33.53,33.79,34.02,34.21,34.43,34.82,34.99,35.18,35.31,35.52,35.72,36.05,36.26,36.57,36.96,37.40,37.52,37.83,38.14,38.45,38.73,39.02,39.32,39.62,39.90,40.18,40.46,40.81,41.14,41.44,41.67,41.89,42.08,42.27,42.44,42.53,42.57,42.64,42.69,42.73,42.80,42.86,42.95,43.06,43.11,43.14,43.18,43.21,43.24,43.32,43.47,43.61,43.78,43.95,44.11,44.27
"HISPANIC or LATINO POPULATION of ANY RACE, ALL AGES (in thousands)",270.153,286.716,312.443,337.023,359.675,383.253,406.594,428.534,449.910,469.355,485.954,495.208,517.760,537.460,556.532,583.103,603.974,622.067,641.443,660.020,678.146,699.438,728.808,762.498,797.824,835.207,872.206,912.590,952.950,996.889,1039.478,1078.714,1101.639,1119.969,1134.375,1144.251,1152.375,1161.908,1176.842,1198.917,1224.238,1247.865,1266.833,1282.909,1297.234,1309.919,1320.701,1329.299,1334.963,1339.943,1344.308,1348.752,1354.446,1354.587,1372.116,1389.618,1406.987,1424.263,1441.423,1458.065,1474.348,1490.504,1506.457,1521.928,1537.052,1551.964,1566.613,1580.951,1595.104,1608.838,1622.167,1635.292,1648.210,1660.878,1673.332,1685.560,1697.651,1709.672,1721.490,1733.310,1744.946,1756.547,1768.140,1779.632,1790.981,1802.123,1813.258,1824.450,1835.687,1847.017,1858.485,1870.123
"  HISPANIC or LATINO POPULATION of ANY RACE AGE UNDER 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",80.707,84.352,89.610,93.749,98.830,103.388,107.910,111.568,114.776,118.006,120.325,122.139,123.873,125.527,126.603,125.535,123.628,123.337,123.125,123.685,124.326,122.371,119.022,114.990,111.734,108.791,106.601,104.220,101.817,99.772,97.192,99.223,100.406,103.461,107.076,109.526,111.211,112.641,114.254,115.732,117.122,118.458,119.697,120.868,121.993,123.061,124.025,124.906,125.722,126.505,127.245,127.980,128.698,129.414,130.120,130.797,131.474,132.081,132.631,133.156,133.649,134.132,134.596,135.055,135.424,135.805,136.221,136.711,137.280,138.012,138.855
"    HISPANIC or LATINO POPULATION of ANY RACE AGE UNDER 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",18.172,18.558,20.412,20.624,21.471,22.293,22.669,23.715,24.077,25.078,25.909,27.014,26.526,26.287,26.190,25.172,24.923,25.171,24.313,24.323,24.279,23.127,22.237,21.769,21.456,21.701,21.242,20.315,19.450,19.191,19.083,21.535,21.818,21.907,22.296,22.656,22.979,23.297,23.588,23.837,24.090,24.350,24.584,24.801,25.004,25.192,25.345,25.510,25.673,25.836,25.988,26.126,26.278,26.440,26.593,26.719,26.830,26.919,27.006,27.135,27.225,27.308,27.387,27.463,27.517,27.618,27.731,27.866,28.024,28.237,28.466
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.370,17.951,18.453,20.109,20.389,21.244,22.049,22.353,23.223,23.539,24.001,25.533,26.438,26.097,25.749,25.587,24.633,24.673,25.186,24.671,24.313,24.261,23.105,22.114,21.616,21.254,21.472,20.977,20.046,19.337,19.002,20.356,21.171,21.728,21.811,22.195,22.552,22.869,23.178,23.463,23.711,23.961,24.214,24.444,24.657,24.858,25.042,25.188,25.347,25.506,25.662,25.812,25.943,26.089,26.247,26.395,26.520,26.627,26.719,26.802,26.931,27.023,27.105,27.185,27.259,27.311,27.412,27.529,27.665,27.823,28.033
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 2 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.019,16.439,17.964,18.378,20.138,20.473,21.391,22.201,22.385,23.225,23.404,23.559,24.995,25.981,25.601,25.350,25.094,24.563,24.870,25.664,25.330,24.307,24.121,22.964,21.894,21.426,20.994,21.215,20.766,19.858,19.137,18.844,20.122,21.203,21.755,21.834,22.215,22.567,22.872,23.178,23.462,23.707,23.948,24.197,24.425,24.635,24.832,25.011,25.148,25.304,25.457,25.609,25.752,25.879,26.020,26.170,26.319,26.439,26.546,26.634,26.718,26.850,26.937,27.019,27.096,27.169,27.222,27.325,27.440,27.577,27.733
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 3 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",15.127,15.998,16.433,17.880,18.432,20.280,20.683,21.658,22.411,22.613,23.263,23.030,23.148,24.395,25.155,24.774,24.668,24.446,24.206,24.626,25.403,25.303,24.251,23.989,22.805,21.727,21.266,20.671,21.026,20.526,19.595,18.930,18.507,20.017,21.093,21.640,21.716,22.090,22.429,22.730,23.034,23.313,23.551,23.788,24.035,24.258,24.466,24.656,24.828,24.962,25.112,25.260,25.408,25.545,25.666,25.803,25.955,26.099,26.219,26.324,26.412,26.497,26.628,26.718,26.797,26.872,26.945,27.002,27.107,27.224,27.358
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 4 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",15.019,15.406,16.348,16.758,18.400,19.098,21.118,21.641,22.680,23.551,23.748,23.003,22.766,22.767,23.908,24.652,24.310,24.484,24.550,24.401,25.001,25.373,25.308,24.154,23.963,22.683,21.627,21.042,20.529,20.860,20.375,19.558,18.788,18.606,20.121,21.201,21.749,21.818,22.187,22.524,22.825,23.127,23.400,23.638,23.872,24.118,24.340,24.541,24.726,24.897,25.026,25.173,25.317,25.461,25.594,25.710,25.850,25.997,26.141,26.261,26.363,26.454,26.539,26.670,26.755,26.835,26.911,26.989,27.044,27.151,27.265
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 5 to 9 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",69.993,71.782,74.269,76.815,80.375,84.822,89.607,96.214,101.765,108.139,112.333,112.881,111.988,110.626,109.379,108.741,108.916,110.970,114.180,117.561,119.909,121.325,123.141,123.968,123.449,122.479,119.656,115.320,110.960,107.399,104.413,101.903,99.235,97.953,96.526,96.294,97.564,99.941,102.876,106.384,108.737,110.300,111.609,113.131,114.523,115.821,117.066,118.220,119.291,120.304,121.258,122.098,122.856,123.566,124.224,124.839,125.479,126.105,126.745,127.390,128.031,128.678,129.278,129.818,130.331,130.816,131.277,131.746,132.210,132.604,133.009
