"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 73 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.026,0.031,0.030,0.034,0.039,0.040,0.047,0.050,0.053,0.056,0.058,0.075,0.071,0.114,0.121,0.121,0.140,0.156,0.194,0.153,0.166,0.160,0.179,0.191,0.198,0.225,0.259,0.257,0.266,0.316,0.329,0.341,0.353,0.394,0.424,0.403,0.451,0.493,0.575,0.587,0.647,0.672,0.684,0.781,0.750,0.822,0.919,0.971,1.096,1.139,1.181,1.263,1.381,1.495,1.536,1.611,1.760,1.799,1.883,1.881,1.892,1.864,1.944,2.091,1.959,2.056,2.102,2.129,2.221,2.129,2.099
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 74 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.026,0.027,0.032,0.031,0.036,0.042,0.043,0.048,0.053,0.056,0.057,0.056,0.073,0.082,0.109,0.130,0.119,0.140,0.158,0.187,0.161,0.161,0.156,0.168,0.185,0.199,0.222,0.256,0.254,0.256,0.318,0.315,0.333,0.349,0.391,0.421,0.400,0.447,0.488,0.570,0.584,0.642,0.667,0.679,0.776,0.746,0.816,0.912,0.964,1.089,1.134,1.174,1.256,1.375,1.487,1.528,1.605,1.752,1.791,1.876,1.875,1.886,1.857,1.939,2.087,1.954,2.051,2.097,2.126,2.217,2.127
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 75 to 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.099,0.108,0.111,0.121,0.132,0.141,0.158,0.178,0.198,0.216,0.235,0.267,0.277,0.348,0.377,0.409,0.485,0.533,0.561,0.616,0.664,0.699,0.721,0.731,0.733,0.773,0.829,0.884,0.988,1.064,1.146,1.210,1.289,1.379,1.476,1.616,1.733,1.818,1.923,2.059,2.233,2.388,2.620,2.829,3.009,3.207,3.359,3.526,3.762,4.033,4.337,4.707,5.046,5.379,5.768,6.155,6.528,6.942,7.416,7.816,8.190,8.520,8.786,8.883,9.024,9.231,9.308,9.466,9.693,9.868,9.998
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 75 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.024,0.024,0.025,0.030,0.031,0.035,0.041,0.043,0.047,0.050,0.052,0.061,0.058,0.079,0.081,0.109,0.121,0.113,0.126,0.136,0.159,0.152,0.152,0.146,0.170,0.179,0.200,0.214,0.250,0.259,0.256,0.299,0.306,0.329,0.345,0.384,0.414,0.394,0.440,0.482,0.560,0.574,0.632,0.656,0.667,0.762,0.732,0.802,0.897,0.948,1.071,1.113,1.153,1.236,1.352,1.462,1.500,1.578,1.721,1.760,1.843,1.841,1.853,1.826,1.904,2.050,1.920,2.015,2.062,2.089,2.178
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 76 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.019,0.022,0.023,0.024,0.030,0.032,0.038,0.046,0.048,0.054,0.061,0.056,0.062,0.068,0.095,0.091,0.120,0.152,0.137,0.154,0.160,0.156,0.150,0.147,0.139,0.175,0.181,0.193,0.215,0.244,0.256,0.242,0.293,0.303,0.326,0.341,0.381,0.411,0.390,0.437,0.477,0.555,0.569,0.626,0.652,0.662,0.757,0.728,0.796,0.891,0.943,1.064,1.107,1.147,1.227,1.344,1.452,1.493,1.569,1.714,1.753,1.834,1.836,1.846,1.820,1.898,2.042,1.914,2.005,2.054,2.083
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 77 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.014,0.015,0.017,0.016,0.017,0.022,0.020,0.024,0.031,0.031,0.032,0.063,0.055,0.060,0.066,0.087,0.083,0.104,0.118,0.102,0.123,0.164,0.146,0.145,0.144,0.134,0.171,0.173,0.182,0.209,0.240,0.241,0.231,0.283,0.293,0.316,0.332,0.369,0.398,0.379,0.424,0.463,0.539,0.552,0.608,0.632,0.642,0.734,0.705,0.771,0.862,0.913,1.031,1.073,1.111,1.191,1.302,1.409,1.447,1.522,1.661,1.699,1.779,1.778,1.790,1.763,1.840,1.980,1.855,1.945,1.992
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 78 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.021,0.024,0.024,0.027,0.028,0.030,0.036,0.038,0.045,0.051,0.055,0.034,0.071,0.067,0.064,0.067,0.090,0.078,0.099,0.123,0.110,0.116,0.159,0.141,0.144,0.142,0.134,0.173,0.172,0.187,0.211,0.231,0.239,0.232,0.286,0.297,0.319,0.335,0.372,0.401,0.383,0.427,0.467,0.543,0.557,0.613,0.636,0.646,0.739,0.709,0.776,0.867,0.919,1.038,1.079,1.117,1.197,1.309,1.417,1.455,1.531,1.670,1.710,1.788,1.789,1.800,1.775,1.850,1.992,1.865,1.953
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 79 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.021,0.023,0.022,0.024,0.026,0.022,0.023,0.027,0.027,0.030,0.035,0.053,0.031,0.074,0.071,0.055,0.071,0.086,0.081,0.101,0.112,0.111,0.114,0.152,0.136,0.143,0.143,0.131,0.169,0.165,0.183,0.197,0.220,0.232,0.226,0.278,0.287,0.309,0.323,0.360,0.389,0.369,0.413,0.452,0.525,0.538,0.592,0.616,0.625,0.714,0.685,0.750,0.836,0.885,0.999,1.041,1.077,1.153,1.262,1.365,1.402,1.476,1.608,1.645,1.721,1.720,1.731,1.707,1.779,1.915,1.792
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 80 to 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.055,0.063,0.062,0.068,0.072,0.080,0.083,0.085,0.097,0.102,0.113,0.137,0.168,0.177,0.231,0.281,0.307,0.305,0.340,0.349,0.373,0.411,0.434,0.481,0.548,0.581,0.608,0.619,0.621,0.663,0.694,0.711,0.763,0.851,0.911,0.975,1.073,1.159,1.242,1.329,1.449,1.551,1.628,1.725,1.843,1.995,2.137,2.340,2.526,2.678,2.852,2.988,3.134,3.340,3.581,3.850,4.175,4.466,4.762,5.104,5.441,5.772,6.137,6.552,6.898,7.224,7.510,7.726,7.810,7.921,8.110
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 80 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.020,0.022,0.022,0.023,0.024,0.026,0.027,0.026,0.030,0.030,0.036,0.046,0.055,0.043,0.078,0.074,0.062,0.073,0.089,0.080,0.106,0.109,0.111,0.118,0.147,0.137,0.145,0.140,0.130,0.173,0.157,0.171,0.189,0.214,0.226,0.221,0.271,0.280,0.301,0.316,0.351,0.379,0.361,0.402,0.440,0.511,0.524,0.577,0.599,0.609,0.695,0.668,0.731,0.816,0.866,0.976,1.015,1.049,1.125,1.231,1.332,1.367,1.440,1.569,1.604,1.678,1.679,1.691,1.666,1.735,1.868
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 81 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.010,0.010,0.011,0.014,0.014,0.015,0.017,0.017,0.019,0.023,0.022,0.034,0.041,0.049,0.041,0.077,0.084,0.065,0.073,0.087,0.086,0.098,0.104,0.106,0.116,0.138,0.130,0.130,0.133,0.125,0.166,0.151,0.165,0.186,0.210,0.221,0.217,0.266,0.275,0.295,0.309,0.344,0.372,0.354,0.395,0.431,0.502,0.513,0.565,0.587,0.595,0.681,0.654,0.714,0.797,0.844,0.953,0.992,1.025,1.099,1.202,1.299,1.336,1.405,1.530,1.566,1.637,1.635,1.646,1.622,1.690
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 82 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.014,0.017,0.016,0.016,0.017,0.019,0.018,0.020,0.020,0.020,0.023,0.018,0.033,0.038,0.046,0.036,0.060,0.058,0.049,0.062,0.065,0.079,0.090,0.103,0.103,0.109,0.131,0.127,0.120,0.128,0.125,0.159,0.145,0.161,0.181,0.205,0.215,0.211,0.258,0.267,0.287,0.299,0.334,0.361,0.343,0.382,0.418,0.485,0.496,0.546,0.567,0.575,0.657,0.631,0.690,0.768,0.815,0.917,0.955,0.987,1.056,1.157,1.250,1.284,1.352,1.470,1.505,1.571,1.573,1.582,1.559
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 83 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.005,0.006,0.006,0.006,0.008,0.010,0.010,0.010,0.014,0.015,0.018,0.023,0.020,0.029,0.037,0.064,0.049,0.070,0.075,0.058,0.064,0.062,0.072,0.085,0.099,0.100,0.101,0.121,0.121,0.117,0.128,0.116,0.155,0.144,0.159,0.179,0.202,0.212,0.208,0.255,0.263,0.283,0.296,0.331,0.357,0.339,0.378,0.414,0.481,0.492,0.540,0.562,0.570,0.652,0.625,0.684,0.761,0.807,0.911,0.949,0.979,1.050,1.148,1.241,1.274,1.342,1.459,1.493,1.557,1.558,1.567
"    HISPANIC or LATINO POPULATION of ANY RACE AGE 84 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.006,0.008,0.007,0.009,0.009,0.010,0.011,0.012,0.014,0.014,0.014,0.016,0.019,0.018,0.029,0.030,0.052,0.039,0.054,0.062,0.052,0.063,0.057,0.069,0.083,0.097,0.101,0.101,0.117,0.120,0.118,0.114,0.109,0.146,0.135,0.149,0.168,0.190,0.200,0.196,0.239,0.246,0.265,0.277,0.308,0.332,0.315,0.351,0.385,0.444,0.455,0.502,0.522,0.527,0.603,0.578,0.631,0.701,0.746,0.838,0.872,0.899,0.963,1.053,1.138,1.168,1.230,1.336,1.368,1.424,1.426
"  HISPANIC or LATINO POPULATION of ANY RACE AGE 85 YEARS and OVER (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.049,0.051,0.053,0.055,0.060,0.063,0.066,0.069,0.072,0.074,0.076,0.090,0.097,0.117,0.133,0.145,0.157,0.181,0.194,0.227,0.251,0.273,0.313,0.341,0.381,0.427,0.476,0.544,0.570,0.643,0.708,0.669,0.691,0.725,0.757,0.795,0.828,0.862,0.910,0.960,1.016,1.077,1.166,1.255,1.342,1.443,1.536,1.625,1.728,1.842,1.980,2.110,2.242,2.368,2.507,2.679,2.817,2.953,3.088,3.230,3.371,3.474,3.556,3.640,3.722,3.837,3.928,3.990,4.036,4.065,4.114
"HISPANIC or LATINO POPULATION of ANY RACE MEDIAN AGE (in years)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",23.07,23.30,23.39,23.52,23.57,23.62,23.57,23.46,23.45,23.41,23.40,23.61,23.77,23.99,24.24,24.42,24.39,24.39,24.24,24.23,24.23,24.58,24.83,25.15,25.48,25.78,26.10,26.45,26.81,27.18,27.62,27.54,27.71,27.92,28.13,28.34,28.55,28.79,29.03,29.28,29.55,29.86,30.17,30.46,30.71,30.98,31.25,31.53,31.81,32.05,32.27,32.50,32.66,32.85,33.00,33.09,33.15,33.19,33.21,33.27,33.34,33.31,33.21,33.13,33.14,33.13,33.12,33.11,33.10,33.09,33.08
"HISPANIC or LATINO MALE POPULATION of ANY RACE, ALL AGES (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",11.033,11.734,12.457,13.448,14.540,15.788,17.096,18.603,20.194,21.969,24.075,26.669,29.359,33.029,37.538,42.027,46.792,50.455,52.579,53.742,54.774,55.600,56.329,57.128,57.782,58.447,59.917,61.621,63.231,64.451,65.706,67.203,68.375,70.536,72.740,74.967,77.246,79.583,81.965,84.363,86.817,89.317,91.913,94.540,97.213,99.936,102.718,105.567,108.465,111.415,114.438,117.543,120.747,124.031,127.398,130.836,134.366,137.975,141.664,145.432,149.248,153.152,157.134,161.149,165.239,169.398,173.648,177.949,182.283,186.683,191.161
"  HISPANIC or LATINO MALE POPULATION of ANY RACE AGE UNDER 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.182,1.276,1.394,1.530,1.675,1.833,2.015,2.189,2.363,2.568,2.791,3.114,3.441,3.884,4.477,4.963,5.412,5.789,5.996,5.998,5.929,5.636,5.428,5.274,5.072,4.990,5.080,5.021,5.054,5.205,5.130,5.262,5.368,5.618,5.936,6.073,6.268,6.450,6.650,6.844,7.039,7.232,7.436,7.646,7.857,8.076,8.301,8.517,8.738,8.959,9.181,9.404,9.631,9.863,10.093,10.321,10.556,10.787,11.015,11.247,11.483,11.720,11.971,12.229,12.489,12.757,13.035,13.329,13.642,13.979,14.333
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE UNDER 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.253,0.267,0.302,0.324,0.351,0.383,0.412,0.456,0.487,0.538,0.595,0.653,0.646,0.748,0.894,0.990,1.024,1.136,1.164,1.087,1.083,1.003,0.994,0.986,0.910,0.996,1.018,0.966,0.961,0.934,0.959,1.105,1.139,1.162,1.202,1.238,1.278,1.316,1.353,1.389,1.427,1.466,1.513,1.554,1.595,1.638,1.684,1.724,1.767,1.808,1.854,1.897,1.941,1.987,2.030,2.075,2.121,2.161,2.202,2.254,2.301,2.349,2.400,2.452,2.503,2.561,2.618,2.686,2.760,2.833,2.907
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 1 YEAR (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.250,0.279,0.294,0.334,0.353,0.384,0.416,0.443,0.483,0.514,0.555,0.661,0.771,0.761,0.860,0.992,1.127,1.101,1.184,1.191,1.119,1.101,1.022,1.075,0.971,0.848,1.051,1.045,1.011,0.979,0.963,1.146,1.116,1.166,1.190,1.230,1.267,1.308,1.346,1.384,1.421,1.459,1.499,1.547,1.589,1.630,1.674,1.720,1.762,1.805,1.847,1.894,1.938,1.984,2.029,2.073,2.120,2.168,2.209,2.250,2.302,2.351,2.401,2.451,2.505,2.557,2.616,2.673,2.742,2.817,2.892
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 2 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.213,0.232,0.261,0.281,0.323,0.350,0.385,0.424,0.453,0.503,0.547,0.596,0.710,0.838,0.843,0.941,1.058,1.195,1.138,1.199,1.189,1.114,1.103,1.017,1.061,1.013,0.878,1.092,1.086,1.049,0.993,0.960,1.156,1.142,1.194,1.217,1.258,1.296,1.339,1.377,1.415,1.453,1.492,1.533,1.581,1.624,1.666,1.711,1.758,1.800,1.844,1.887,1.935,1.981,2.027,2.073,2.119,2.166,2.216,2.256,2.299,2.353,2.403,2.453,2.505,2.559,2.612,2.672,2.729,2.799,2.875
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 3 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.231,0.255,0.270,0.305,0.322,0.368,0.397,0.431,0.469,0.496,0.543,0.611,0.650,0.795,0.956,0.955,1.091,1.149,1.258,1.166,1.232,1.199,1.116,1.093,1.032,1.075,1.026,0.882,1.085,1.161,1.048,0.995,0.963,1.174,1.160,1.213,1.236,1.278,1.317,1.360,1.399,1.437,1.476,1.516,1.557,1.607,1.649,1.691,1.737,1.785,1.828,1.874,1.917,1.966,2.013,2.059,2.107,2.153,2.202,2.252,2.294,2.337,2.393,2.443,2.494,2.547,2.602,2.655,2.715,2.773,2.843
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 4 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.235,0.243,0.267,0.286,0.326,0.348,0.405,0.435,0.471,0.517,0.551,0.593,0.664,0.742,0.924,1.085,1.112,1.208,1.252,1.355,1.306,1.219,1.193,1.103,1.098,1.058,1.107,1.036,0.911,1.082,1.167,1.056,0.994,0.974,1.190,1.175,1.229,1.252,1.295,1.334,1.377,1.417,1.456,1.496,1.535,1.577,1.628,1.671,1.714,1.761,1.808,1.852,1.900,1.945,1.994,2.041,2.089,2.139,2.186,2.235,2.287,2.330,2.374,2.430,2.482,2.533,2.587,2.643,2.696,2.757,2.816
"  HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 5 to 9 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.082,1.132,1.191,1.271,1.390,1.537,1.700,1.908,2.112,2.352,2.606,2.867,3.172,3.626,4.094,4.692,5.260,5.743,6.029,6.198,6.285,6.258,6.283,6.248,6.156,5.939,5.822,5.797,5.686,5.523,5.527,5.532,5.470,5.480,5.532,5.666,5.699,5.895,6.171,6.516,6.667,6.879,7.076,7.291,7.503,7.716,7.927,8.147,8.373,8.601,8.840,9.088,9.326,9.569,9.817,10.064,10.310,10.561,10.819,11.075,11.333,11.598,11.851,12.100,12.360,12.618,12.877,13.147,13.425,13.701,13.982
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 5 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.202,0.220,0.229,0.257,0.281,0.324,0.351,0.412,0.441,0.487,0.536,0.578,0.648,0.745,0.818,0.993,1.120,1.141,1.201,1.202,1.297,1.291,1.233,1.197,1.126,1.104,1.095,1.138,1.065,0.982,1.127,1.168,1.057,1.008,0.989,1.206,1.193,1.247,1.270,1.314,1.353,1.397,1.437,1.477,1.517,1.558,1.600,1.650,1.695,1.738,1.785,1.835,1.879,1.927,1.973,2.024,2.070,2.119,2.170,2.218,2.268,2.321,2.365,2.409,2.466,2.519,2.570,2.625,2.681,2.735,2.796
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 6 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.211,0.221,0.238,0.250,0.282,0.306,0.352,0.379,0.438,0.475,0.522,0.578,0.633,0.720,0.865,0.893,1.104,1.188,1.165,1.186,1.233,1.272,1.299,1.223,1.193,1.104,1.124,1.113,1.150,1.074,0.988,1.109,1.180,1.082,1.034,1.013,1.235,1.222,1.277,1.302,1.346,1.385,1.430,1.471,1.511,1.552,1.594,1.637,1.688,1.733,1.778,1.827,1.876,1.922,1.972,2.019,2.069,2.118,2.169,2.220,2.270,2.322,2.374,2.419,2.465,2.522,2.575,2.629,2.683,2.741,2.794
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 7 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.225,0.228,0.243,0.264,0.280,0.313,0.339,0.392,0.419,0.482,0.529,0.572,0.653,0.741,0.799,0.986,1.001,1.212,1.287,1.242,1.230,1.215,1.285,1.310,1.242,1.192,1.142,1.126,1.124,1.138,1.099,1.013,1.124,1.214,1.114,1.062,1.042,1.270,1.256,1.312,1.337,1.383,1.423,1.469,1.511,1.553,1.594,1.637,1.681,1.733,1.780,1.826,1.876,1.927,1.974,2.024,2.072,2.125,2.176,2.226,2.280,2.331,2.383,2.437,2.483,2.530,2.589,2.642,2.696,2.751,2.809
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 8 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.214,0.229,0.232,0.247,0.275,0.294,0.336,0.365,0.420,0.459,0.530,0.574,0.630,0.725,0.838,0.902,1.079,1.084,1.271,1.318,1.260,1.219,1.245,1.275,1.315,1.236,1.225,1.163,1.151,1.160,1.144,1.093,1.017,1.145,1.235,1.133,1.080,1.060,1.293,1.278,1.335,1.360,1.406,1.448,1.495,1.537,1.579,1.621,1.664,1.709,1.763,1.810,1.857,1.908,1.960,2.007,2.059,2.107,2.162,2.213,2.265,2.320,2.370,2.424,2.480,2.525,2.573,2.633,2.687,2.741,2.796
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 9 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.230,0.234,0.249,0.253,0.272,0.300,0.322,0.360,0.394,0.449,0.489,0.565,0.608,0.695,0.774,0.918,0.956,1.118,1.105,1.250,1.265,1.261,1.221,1.243,1.280,1.303,1.236,1.257,1.196,1.169,1.169,1.149,1.092,1.031,1.160,1.252,1.149,1.096,1.075,1.310,1.296,1.354,1.380,1.426,1.469,1.516,1.560,1.602,1.645,1.688,1.734,1.790,1.838,1.885,1.938,1.990,2.040,2.092,2.142,2.198,2.250,2.304,2.359,2.411,2.466,2.522,2.570,2.618,2.678,2.733,2.787
"  HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 10 to 14 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",1.023,1.108,1.179,1.273,1.382,1.473,1.575,1.688,1.819,1.991,2.224,2.511,2.804,3.228,3.750,4.266,4.838,5.236,5.600,5.760,6.002,6.096,6.186,6.253,6.372,6.335,6.448,6.529,6.656,6.635,6.540,6.415,6.346,6.308,6.251,6.248,6.357,6.375,6.381,6.434,6.586,6.626,6.852,7.170,7.568,7.742,7.985,8.207,8.454,8.693,8.937,9.178,9.434,9.698,9.968,10.242,10.528,10.806,11.091,11.375,11.666,11.955,12.248,12.543,12.839,13.133,13.431,13.721,13.999,14.280,14.568
"    HISPANIC or LATINO MALE POPULATION of ANY RACE AGE 10 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",0.232,0.252,0.256,0.273,0.283,0.298,0.327,0.345,0.384,0.414,0.478,0.550,0.626,0.693,0.820,0.893,1.075,1.100,1.224,1.170,1.294,1.245,1.265,1.220,1.267,1.296,1.318,1.262,1.264,1.225,1.192,1.245,1.216,1.172,1.106,1.243,1.341,1.230,1.173,1.150,1.402,1.386,1.448,1.475,1.524,1.570,1.619,1.664,1.709,1.754,1.801,1.849,1.908,1.958,2.009,2.064,2.120,2.172,2.227,2.280,2.338,2.394,2.450,2.508,2.563,2.621,2.679,2.728,2.779,2.839,2.898
